WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14771,20110101,1054,11,BKN085 BKN160 OVC220, ,10.00, , , ,46, ,7.8, ,42, ,5.7, ,38, ,3.3, , 74, , 9, ,140, , , ,29.50, , , , , ,29.94, ,AA, , , ,29.95, 
14771,20110101,1154,11,BKN090 OVC200, ,10.00, , , ,50, ,10.0, ,45, ,7.1, ,39, ,3.9, , 66, , 0, ,000, , , ,29.47, , , , , ,29.91, ,AA, , , ,29.92, 
14771,20110101,1254,11,FEW031 SCT070 OVC090, ,10.00, ,-RA, ,50, ,10.0, ,46, ,7.8, ,42, ,5.6, , 74, , 6, ,150, , , ,29.44, ,8, ,021, ,29.89, ,AA, ,0.01, ,29.89, 
14771,20110101,1354,11,FEW037 BKN075 OVC090, ,10.00, ,-RA, ,51, ,10.6, ,46, ,7.8, ,41, ,5.0, , 69, , 7, ,160, , , ,29.43, , , , , ,29.88, ,AA, ,  T, ,29.88, 
14771,20110101,1454,11,FEW042 BKN075 OVC120, ,10.00, ,-RA, ,48, ,8.9, ,44, ,6.8, ,40, ,4.4, , 74, , 7, ,140, , , ,29.40, , , , , ,29.85, ,AA, ,0.01, ,29.85, 
14771,20110101,1554,11,FEW045 BKN080 OVC120, ,10.00, ,-RA, ,49, ,9.4, ,45, ,7.0, ,40, ,4.4, , 71, , 6, ,160, , , ,29.38, ,6, ,020, ,29.83, ,AA, ,  T, ,29.83, 
14771,20110101,1654,11,FEW055 BKN080 OVC120, ,10.00, , , ,52, ,11.1, ,46, ,7.9, ,40, ,4.4, , 64, , 9, ,190, , , ,29.37, , , , , ,29.82, ,AA, ,  T, ,29.82, 
14771,20110101,1754,11,FEW090 OVC120, ,10.00, , , ,53, ,11.7, ,48, ,8.6, ,42, ,5.6, , 66, , 3, ,VR , , , ,29.37, , , , , ,29.81, ,AA, , , ,29.82, 
14771,20110101,1854,11,BKN044 BKN080 OVC120, ,10.00, , , ,53, ,11.7, ,48, ,8.6, ,42, ,5.6, , 66, , 9, ,210, , , ,29.37, ,6, ,005, ,29.81, ,AA, , , ,29.82, 
14771,20110101,1954,11,FEW030 BKN045 OVC075, ,10.00, ,-RA, ,51, ,10.6, ,48, ,8.6, ,44, ,6.7, , 77, , 8, ,220, , , ,29.38, , , , , ,29.82, ,AA, ,0.01, ,29.83, 
14771,20110101,2054,11,FEW045 BKN075 OVC120, ,10.00, , , ,51, ,10.6, ,48, ,8.6, ,44, ,6.7, , 77, , 8, ,230, , , ,29.37, , , , , ,29.82, ,AA, , , ,29.82, 
14771,20110101,2146,11,BKN029 BKN033 OVC042, ,10.00, , , ,50, ,10.0, ,47, ,8.1, ,43, ,6.0, , 77, , 9, ,240, , , ,29.39, , , , , ,M, ,SP, , , ,29.84, 
14771,20110101,2154,11,BKN030 OVC045, ,10.00, , , ,50, ,10.0, ,47, ,8.3, ,44, ,6.7, , 80, , 8, ,250, , , ,29.39, ,3, ,008, ,29.84, ,AA, , , ,29.84, 
14771,20110101,2231,11,BKN025 OVC040, , 8.00, , , ,48, ,9.0, ,46, ,7.5, ,43, ,6.0, , 83, , 9, ,310, , , ,29.42, , , , , ,M, ,SP, , , ,29.87, 
14771,20110101,2254,11,BKN023 OVC030, , 9.00, ,-RA, ,47, ,8.3, ,45, ,7.2, ,43, ,6.1, , 86, , 9, ,310, , , ,29.43, , , , , ,29.88, ,AA, ,  T, ,29.88, 
14771,20110101,2352,11,SCT027 OVC032, ,10.00, ,-RA, ,45, ,7.0, ,43, ,6.1, ,41, ,5.0, , 86, ,10, ,290, , , ,29.44, , , , , ,M, ,SP, , , ,29.89, 
14771,20110101,2354,11,SCT027 OVC032, ,10.00, ,-RA, ,44, ,6.7, ,43, ,5.8, ,41, ,5.0, , 89, , 9, ,290, , , ,29.44, , , , , ,29.89, ,AA, ,  T, ,29.89, 
14771,20110102,0054,11,OVC034, ,10.00, , , ,45, ,7.2, ,41, ,5.0, ,36, ,2.2, , 71, , 5, ,300, , , ,29.44, ,0, ,015, ,29.88, ,AA, ,  T, ,29.89, 
14771,20110102,0154,11,OVC036, ,10.00, , , ,44, ,6.7, ,37, ,2.6, ,26, ,-3.3, , 49, , 8, ,310, , , ,29.47, , , , , ,29.91, ,AA, , , ,29.92, 
14771,20110102,0254,11,OVC045, ,10.00, ,-PLRA, ,42, ,5.6, ,35, ,1.8, ,25, ,-3.9, , 51, ,14, ,320, ,23, ,29.51, , , , , ,29.96, ,AA, ,  T, ,29.96, 
14771,20110102,0321,11,OVC060, ,10.00, ,-RA, ,39, ,4.0, ,35, ,1.8, ,30, ,-1.0, , 70, ,14, ,310, , , ,29.52, , , , , ,M, ,SP, , , ,29.97, 
14771,20110102,0347,11,BKN035 BKN047 OVC065, , 6.00, ,PLRA, ,36, ,2.0, ,34, ,1.3, ,32, ,0.0, , 85, ,14, ,310, ,21, ,29.55, , , , , ,M, ,SP, , , ,30.00, 
14771,20110102,0354,11,SCT015 BKN035 OVC060, , 8.00, ,-SNRA, ,36, ,2.2, ,34, ,1.3, ,32, ,0.0, , 85, ,13, ,310, , , ,29.55, ,3, ,037, ,29.99, ,AA, ,0.03, ,30.00, 
14771,20110102,0403,11,FEW013 BKN035 OVC048, , 7.00, ,-SNRA, ,36, ,2.0, ,34, ,1.3, ,32, ,0.0, , 85, , 8, ,300, , , ,29.55, , , , , ,M, ,SP, , , ,30.00, 
14771,20110102,0412,11,FEW013 BKN028 OVC048, , 9.00, ,-SNRA, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 7, ,300, , , ,29.56, , , , , ,M, ,SP, , , ,30.01, 
14771,20110102,0421,11,BKN013 BKN020 OVC025, , 8.00, ,-SNRA, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 5, ,300, , , ,29.55, , , , , ,M, ,SP, , , ,30.00, 
14771,20110102,0435,11,SCT013 BKN021 OVC027, , 9.00, ,-SNRA, ,34, ,1.0, ,34, ,1.1, ,34, ,1.0, ,100, , 3, ,220, , , ,29.54, , , , , ,M, ,SP, , , ,29.99, 
14771,20110102,0452,11,FEW013 BKN075 OVC090, ,10.00, ,-DZ, ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 3, ,170, , , ,29.53, , , , , ,M, ,SP, , , ,29.98, 
14771,20110102,0454,11,FEW018 BKN075 OVC090, ,10.00, ,-DZ, ,34, ,1.1, ,34, ,0.8, ,33, ,0.6, , 96, , 0, ,000, , , ,29.53, , , , , ,29.98, ,AA, ,0.02, ,29.98, 
14771,20110102,0554,11,OVC110, , 9.00, , , ,34, ,1.1, ,34, ,0.8, ,33, ,0.6, , 96, , 0, ,000, , , ,29.54, , , , , ,29.99, ,AA, ,  T, ,29.99, 
14771,20110102,0654,11,SCT024 BKN120, , 7.00, , , ,33, ,0.6, ,33, ,0.3, ,32, ,0.0, , 96, , 3, ,020, , , ,29.55, ,3, ,002, ,30.00, ,AA, , , ,30.00, 
14771,20110102,0701,11,BKN022 BKN120, , 7.00, , , ,34, ,1.0, ,33, ,0.6, ,32, ,0.0, , 92, , 0, ,000, , , ,29.56, , , , , ,M, ,SP, , , ,30.01, 
14771,20110102,0754,11,SCT016 BKN025 OVC120, ,10.00, , , ,34, ,1.1, ,32, ,0.2, ,30, ,-1.1, , 85, ,10, ,320, , , ,29.58, , , , , ,30.02, ,AA, , , ,30.03, 
14771,20110102,0854,11,SCT025 OVC030, ,10.00, , , ,33, ,0.6, ,31, ,-0.6, ,27, ,-2.8, , 79, , 8, ,320, , , ,29.59, , , , , ,30.04, ,AA, , , ,30.04, 
14771,20110102,0954,11,SCT025 OVC030, ,10.00, , , ,33, ,0.6, ,30, ,-1.0, ,25, ,-3.9, , 72, , 9, ,320, , , ,29.60, ,1, ,016, ,30.05, ,AA, , , ,30.05, 
14771,20110102,1054,11,SCT025 OVC035, ,10.00, , , ,33, ,0.6, ,30, ,-1.0, ,25, ,-3.9, , 72, , 8, ,290, , , ,29.60, , , , , ,30.05, ,AA, , , ,30.05, 
14771,20110102,1154,11,BKN033 OVC040, ,10.00, , , ,33, ,0.6, ,29, ,-1.7, ,21, ,-6.1, , 61, ,13, ,320, , , ,29.57, , , , , ,30.02, ,AA, , , ,30.02, 
14771,20110102,1254,11,FEW030 OVC036, ,10.00, , , ,33, ,0.6, ,29, ,-1.7, ,21, ,-6.1, , 61, ,11, ,320, , , ,29.56, ,7, ,015, ,30.01, ,AA, , , ,30.01, 
14771,20110102,1354,11,OVC040, ,10.00, , , ,33, ,0.6, ,28, ,-2.0, ,19, ,-7.2, , 56, ,14, ,300, , , ,29.54, , , , , ,29.99, ,AA, , , ,29.99, 
14771,20110102,1454,11,OVC042, ,10.00, , , ,32, ,0.0, ,28, ,-2.4, ,19, ,-7.2, , 59, ,11, ,320, , , ,29.54, , , , , ,29.99, ,AA, , , ,29.99, 
14771,20110102,1554,11,FEW035 OVC043, ,10.00, , , ,31, ,-0.6, ,27, ,-2.6, ,20, ,-6.7, , 64, , 9, ,330, , , ,29.55, ,5, ,001, ,30.00, ,AA, , , ,30.00, 
14771,20110102,1654,11,FEW029 OVC041, , 9.00, ,-SN, ,30, ,-1.1, ,27, ,-2.8, ,21, ,-6.1, , 69, ,10, ,320, , , ,29.57, , , , , ,30.02, ,AA, ,  T, ,30.02, 
14771,20110102,1754,11,FEW035 OVC049, , 9.00, ,-SN, ,29, ,-1.7, ,26, ,-3.4, ,19, ,-7.2, , 66, ,13, ,320, , , ,29.60, , , , , ,30.05, ,AA, ,  T, ,30.05, 
14771,20110102,1854,11,FEW030 OVC049, , 9.00, ,-SN, ,28, ,-2.2, ,25, ,-4.0, ,18, ,-7.8, , 66, ,15, ,320, ,24, ,29.61, ,2, ,021, ,30.07, ,AA, ,  T, ,30.06, 
14771,20110102,1954,11,FEW033 OVC046, , 9.00, ,-SN, ,27, ,-2.8, ,24, ,-4.6, ,16, ,-8.9, , 63, ,18, ,310, ,30, ,29.63, , , , , ,30.08, ,AA, ,  T, ,30.08, 
14771,20110102,2054,11,OVC046, , 9.00, ,-SN, ,26, ,-3.3, ,22, ,-5.3, ,14, ,-10.0, , 60, ,21, ,290, , , ,29.63, , , , , ,30.08, ,AA, ,  T, ,30.08, 
14771,20110102,2154,11,OVC048, , 9.00, ,-SN, ,25, ,-3.9, ,21, ,-5.8, ,13, ,-10.6, , 60, ,18, ,290, ,25, ,29.64, ,1, ,008, ,30.09, ,AA, ,  T, ,30.09, 
14771,20110102,2254,11,OVC041, , 9.00, ,-SN, ,25, ,-3.9, ,22, ,-5.7, ,14, ,-10.0, , 63, ,20, ,290, ,26, ,29.63, , , , , ,30.09, ,AA, ,  T, ,30.08, 
14771,20110102,2354,11,FEW020 OVC039, , 9.00, ,-SN, ,25, ,-3.9, ,22, ,-5.7, ,14, ,-10.0, , 63, ,16, ,280, , , ,29.63, , , , , ,30.08, ,AA, ,  T, ,30.08, 
14771,20110103,0054,11,FEW010 OVC047, , 9.00, ,-SN, ,25, ,-3.9, ,22, ,-5.5, ,15, ,-9.4, , 66, ,17, ,290, ,24, ,29.63, ,5, ,003, ,30.09, ,AA, ,  T, ,30.08, 
14771,20110103,0154,11,BKN055, , 9.00, , , ,24, ,-4.4, ,21, ,-6.0, ,14, ,-10.0, , 66, ,17, ,280, , , ,29.64, , , , , ,30.09, ,AA, ,  T, ,30.09, 
14771,20110103,0254,11,BKN046 BKN060, ,10.00, , , ,24, ,-4.4, ,21, ,-6.0, ,14, ,-10.0, , 66, ,15, ,290, , , ,29.66, , , , , ,30.11, ,AA, , , ,30.11, 
14771,20110103,0354,11,FEW032 SCT048 OVC055, ,10.00, , , ,25, ,-3.9, ,22, ,-5.7, ,14, ,-10.0, , 63, ,13, ,300, , , ,29.65, ,0, ,006, ,30.10, ,AA, , , ,30.10, 
14771,20110103,0454,11,SCT060, ,10.00, , , ,24, ,-4.4, ,21, ,-6.2, ,13, ,-10.6, , 63, ,14, ,290, , , ,29.65, , , , , ,30.10, ,AA, , , ,30.10, 
14771,20110103,0554,11,BKN060, ,10.00, , , ,24, ,-4.4, ,21, ,-6.3, ,12, ,-11.1, , 60, ,16, ,270, , , ,29.66, , , , , ,30.11, ,AA, , , ,30.11, 
14771,20110103,0654,11,FEW030 OVC060, ,10.00, , , ,25, ,-3.9, ,22, ,-5.7, ,14, ,-10.0, , 63, , 9, ,290, , , ,29.67, ,3, ,005, ,30.12, ,AA, , , ,30.12, 
14771,20110103,0754,11,BKN065, ,10.00, , , ,26, ,-3.3, ,22, ,-5.4, ,13, ,-10.6, , 58, ,13, ,290, , , ,29.68, , , , , ,30.13, ,AA, , , ,30.13, 
14771,20110103,0854,11,BKN060, ,10.00, , , ,26, ,-3.3, ,22, ,-5.4, ,13, ,-10.6, , 58, ,18, ,270, , , ,29.69, , , , , ,30.14, ,AA, , , ,30.14, 
14771,20110103,0954,11,SCT050 BKN065, ,10.00, , , ,27, ,-2.8, ,23, ,-5.1, ,13, ,-10.6, , 55, ,18, ,290, , , ,29.70, ,3, ,013, ,30.16, ,AA, , , ,30.15, 
14771,20110103,1054,11,SCT055 SCT070, ,10.00, , , ,28, ,-2.2, ,23, ,-4.7, ,13, ,-10.6, , 53, ,21, ,280, , , ,29.70, , , , , ,30.16, ,AA, , , ,30.15, 
14771,20110103,1154,11,FEW055 SCT070, ,10.00, , , ,29, ,-1.7, ,24, ,-4.5, ,12, ,-11.1, , 49, ,15, ,290, , , ,29.68, , , , , ,30.14, ,AA, , , ,30.13, 
14771,20110103,1254,11,SCT060 SCT100, ,10.00, , , ,30, ,-1.1, ,25, ,-4.1, ,12, ,-11.1, , 47, ,15, ,270, ,22, ,29.66, ,8, ,016, ,30.11, ,AA, , , ,30.11, 
14771,20110103,1354,11,SCT060, ,10.00, , , ,31, ,-0.6, ,25, ,-3.9, ,11, ,-11.7, , 43, ,15, ,300, ,22, ,29.65, , , , , ,30.11, ,AA, , , ,30.10, 
14771,20110103,1454,11,SCT070, ,10.00, , , ,30, ,-1.1, ,25, ,-4.1, ,12, ,-11.1, , 47, ,16, ,280, , , ,29.65, , , , , ,30.11, ,AA, , , ,30.10, 
14771,20110103,1554,11,FEW049 SCT060 BKN140, ,10.00, , , ,29, ,-1.7, ,24, ,-4.2, ,14, ,-10.0, , 53, ,17, ,280, ,22, ,29.66, ,3, ,001, ,30.11, ,AA, , , ,30.11, 
14771,20110103,1654,11,FEW050 SCT065 SCT100, ,10.00, , , ,28, ,-2.2, ,24, ,-4.3, ,16, ,-8.9, , 61, ,10, ,290, , , ,29.66, , , , , ,30.11, ,AA, , , ,30.11, 
14771,20110103,1754,11,SCT060 SCT100, ,10.00, , , ,27, ,-2.8, ,24, ,-4.5, ,17, ,-8.3, , 66, , 6, ,240, , , ,29.66, , , , , ,30.11, ,AA, , , ,30.11, 
14771,20110103,1854,11,FEW060 OVC110, ,10.00, , , ,28, ,-2.2, ,25, ,-4.1, ,17, ,-8.3, , 63, , 5, ,250, , , ,29.64, ,8, ,004, ,30.10, ,AA, , , ,30.09, 
14771,20110103,1954,11,OVC100, ,10.00, , , ,28, ,-2.2, ,25, ,-4.1, ,17, ,-8.3, , 63, , 6, ,240, , , ,29.64, , , , , ,30.09, ,AA, , , ,30.09, 
14771,20110103,2054,11,FEW060 OVC100, ,10.00, , , ,29, ,-1.7, ,25, ,-3.8, ,17, ,-8.3, , 61, , 6, ,240, , , ,29.63, , , , , ,30.08, ,AA, , , ,30.08, 
14771,20110103,2154,11,BKN110 OVC140, ,10.00, , , ,28, ,-2.2, ,25, ,-4.1, ,17, ,-8.3, , 63, , 5, ,200, , , ,29.61, ,8, ,012, ,30.06, ,AA, , , ,30.06, 
14771,20110103,2254,11,BKN110 OVC140, ,10.00, , , ,28, ,-2.2, ,24, ,-4.1, ,17, ,-8.3, , 63, , 5, ,200, , , ,29.59, , , , , ,30.04, ,AA, , , ,30.04, 
14771,20110103,2354,11,BKN050 OVC075, ,10.00, , , ,29, ,-1.7, ,25, ,-3.8, ,17, ,-8.3, , 61, , 3, ,220, , , ,29.57, , , , , ,30.02, ,AA, , , ,30.02, 
14771,20110104,0054,11,FEW040 BKN045 OVC065, ,10.00, , , ,31, ,-0.6, ,26, ,-3.2, ,16, ,-8.9, , 54, , 6, ,260, , , ,29.55, ,8, ,020, ,30.00, ,AA, , , ,30.00, 
14771,20110104,0154,11,BKN044 OVC065, ,10.00, , , ,31, ,-0.6, ,26, ,-3.2, ,16, ,-8.9, , 54, , 8, ,250, , , ,29.54, , , , , ,30.00, ,AA, , , ,29.99, 
14771,20110104,0254,11,SCT036 OVC050, ,10.00, , , ,32, ,0.0, ,27, ,-2.7, ,17, ,-8.3, , 54, , 8, ,240, , , ,29.53, , , , , ,29.98, ,AA, , , ,29.98, 
14771,20110104,0354,11,OVC060, ,10.00, , , ,30, ,-1.1, ,27, ,-2.6, ,22, ,-5.6, , 72, , 6, ,250, , , ,29.51, ,8, ,013, ,29.96, ,AA, , , ,29.96, 
14771,20110104,0454,11,OVC043, ,10.00, ,-SN, ,31, ,-0.6, ,28, ,-2.4, ,21, ,-6.1, , 66, , 0, ,000, , , ,29.49, , , , , ,29.94, ,AA, ,  T, ,29.94, 
14771,20110104,0542,11,BKN025 OVC045, , 8.00, ,-SN, ,30, ,-1.0, ,26, ,-3.1, ,19, ,-7.0, , 64, , 8, ,210, , , ,29.48, , , , , ,M, ,SP, , , ,29.93, 
14771,20110104,0554,11,OVC026, , 9.00, ,-SN, ,31, ,-0.6, ,28, ,-2.4, ,21, ,-6.1, , 66, ,10, ,230, , , ,29.48, , , , , ,29.93, ,AA, ,  T, ,29.93, 
14771,20110104,0654,11,FEW020 BKN025 OVC030, , 5.00, ,-SN, ,30, ,-1.1, ,27, ,-2.6, ,22, ,-5.6, , 72, , 9, ,220, ,20, ,29.46, ,6, ,016, ,29.92, ,AA, ,  T, ,29.91, 
14771,20110104,0710,11,OVC021, , 2.00, ,-SN, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, , 7, ,210, , , ,29.46, , , , , ,M, ,SP, , , ,29.91, 
14771,20110104,0718,11,BKN019 OVC025, , 2.00, ,-SN BR, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, , 5, ,210, , , ,29.46, , , , , ,M, ,SP, , , ,29.91, 
14771,20110104,0752,11,OVC021, , 2.00, ,-SN BR, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, , 5, ,220, , , ,29.45, , , , , ,M, ,SP, , , ,29.90, 
14771,20110104,0754,11,OVC021, , 2.00, ,-SN BR, ,28, ,-2.2, ,27, ,-2.8, ,25, ,-3.9, , 89, , 5, ,210, , , ,29.45, , , , , ,29.90, ,AA, ,0.01, ,29.90, 
14771,20110104,0806,11,OVC019, , 1.50, ,-SN BR, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, , 5, ,210, , , ,29.45, , , , , ,M, ,SP, , , ,29.90, 
14771,20110104,0833,11,VV, , 1.00, , , ,28, ,-2.0, ,M, ,M, ,27, ,-3.0, ,M, , 7, ,220, , , ,M, , , , , ,M, ,SP, , , ,29.88, 
14771,20110104,0854,11,BKN012 OVC019, , 1.50, ,-SN BR, ,29, ,-1.7, ,28, ,-2.2, ,26, ,-3.3, , 89, , 7, ,220, , , ,29.43, , , , , ,29.88, ,AA, ,0.01, ,29.88, 
14771,20110104,0909,11,OVC018, , 3.00, ,-SN BR, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, , 7, ,220, , , ,29.42, , , , , ,M, ,SP, , , ,29.87, 
14771,20110104,0920,11,BKN022 OVC028, , 8.00, , , ,30, ,-1.0, ,28, ,-2.1, ,25, ,-4.0, , 82, , 8, ,220, , , ,29.42, , , , , ,M, ,SP, , , ,29.87, 
14771,20110104,0951,11,BKN022 OVC028, , 2.00, ,-SN, ,30, ,-1.0, ,28, ,-2.4, ,23, ,-5.0, , 75, ,15, ,230, , , ,29.42, , , , , ,M, ,SP, , , ,29.87, 
14771,20110104,0954,11,FEW018 BKN022 OVC028, , 2.00, ,-SN, ,30, ,-1.1, ,28, ,-2.4, ,23, ,-5.0, , 75, ,14, ,230, , , ,29.42, ,6, ,015, ,29.87, ,AA, ,  T, ,29.87, 
14771,20110104,0956,11,SCT018 OVC022, , 1.75, ,-SN, ,30, ,-1.0, ,28, ,-2.4, ,23, ,-5.0, , 75, ,11, ,220, , , ,29.42, , , , , ,M, ,SP, , , ,29.87, 
14771,20110104,1012,11,SCT018 OVC022, , 2.00, ,-SN, ,30, ,-1.0, ,28, ,-2.1, ,25, ,-4.0, , 82, ,11, ,220, , , ,29.41, , , , , ,M, ,SP, , , ,29.86, 
14771,20110104,1038,11,BKN022 OVC028, , 4.00, ,-SN, ,30, ,-1.0, ,28, ,-2.1, ,25, ,-4.0, , 82, ,14, ,220, , , ,29.40, , , , , ,M, ,SP, , , ,29.85, 
14771,20110104,1047,11,OVC020, , 5.00, ,-SN BR, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, ,15, ,230, , , ,29.39, , , , , ,M, ,SP, , , ,29.84, 
14771,20110104,1054,11,OVC016, , 2.50, ,-SN, ,30, ,-1.1, ,28, ,-2.1, ,25, ,-3.9, , 82, , 9, ,230, , , ,29.39, , , , , ,29.84, ,AA, ,0.01, ,29.84, 
14771,20110104,1102,11,OVC014, , 1.25, ,-SN BR, ,28, ,-2.0, ,27, ,-2.8, ,25, ,-4.0, , 89, ,16, ,230, ,21, ,29.38, , , , , ,M, ,SP, , , ,29.83, 
14771,20110104,1111,11,OVC016, , 3.00, ,-SN, ,30, ,-1.0, ,28, ,-2.1, ,25, ,-4.0, , 82, ,15, ,230, , , ,29.38, , , , , ,M, ,SP, , , ,29.83, 
14771,20110104,1135,11,OVC024, ,10.00, , , ,30, ,-1.0, ,28, ,-2.1, ,25, ,-4.0, , 82, , 8, ,260, , , ,29.37, , , , , ,M, ,SP, , , ,29.82, 
14771,20110104,1154,11,BKN024 OVC030, , 9.00, ,-SN, ,31, ,-0.6, ,29, ,-1.9, ,24, ,-4.4, , 75, , 6, ,220, , , ,29.35, , , , , ,29.80, ,AA, ,  T, ,29.80, 
14771,20110104,1201,11,OVC037, , 9.00, ,-SN, ,32, ,0.0, ,29, ,-1.4, ,25, ,-4.0, , 75, , 3, ,200, , , ,29.35, , , , , ,M, ,SP, , , ,29.80, 
14771,20110104,1254,11,BKN039 OVC047, ,10.00, , , ,34, ,1.1, ,29, ,-1.5, ,20, ,-6.7, , 57, , 7, ,230, , , ,29.32, ,7, ,032, ,29.78, ,AA, ,  T, ,29.77, 
14771,20110104,1354,11,BKN050 BKN065 BKN080, ,10.00, , , ,35, ,1.7, ,31, ,-0.7, ,23, ,-5.0, , 62, ,16, ,280, , , ,29.31, , , , , ,29.76, ,AA, , , ,29.76, 
14771,20110104,1454,11,BKN065 BKN080 BKN200, ,10.00, , , ,35, ,1.7, ,30, ,-0.9, ,22, ,-5.6, , 59, ,15, ,290, , , ,29.30, , , , , ,29.75, ,AA, , , ,29.75, 
14771,20110104,1554,11,BKN048 BKN070 OVC150, ,10.00, , , ,34, ,1.1, ,30, ,-0.9, ,24, ,-4.4, , 67, ,11, ,290, , , ,29.31, ,5, ,005, ,29.76, ,AA, , , ,29.76, 
14771,20110104,1654,11,FEW035 BKN055 BKN070, , 9.00, , , ,33, ,0.6, ,30, ,-1.0, ,25, ,-3.9, , 72, ,11, ,280, , , ,29.31, , , , , ,29.76, ,AA, ,  T, ,29.76, 
14771,20110104,1754,11,BKN090 OVC140, , 9.00, , , ,32, ,0.0, ,30, ,-1.2, ,26, ,-3.3, , 79, , 9, ,270, , , ,29.31, , , , , ,29.77, ,AA, ,  T, ,29.76, 
14771,20110104,1854,11,FEW055 BKN070 OVC085, ,10.00, , , ,32, ,0.0, ,30, ,-1.2, ,26, ,-3.3, , 79, ,10, ,290, , , ,29.32, ,3, ,005, ,29.77, ,AA, , , ,29.77, 
